;middle;north;east;swest
7271;39,83048669;22,20356355;43,59679549;27,55086344
7272;23,58810722;12,08578655;26,08480279;15,19690583
7273;15,8453973;7,627644958;17,64549431;9,691870004
7274;17,21003383;8,446314213;19,12466031;10,69677449
7275;15,83548356;7,582361715;17,64459659;9,643176542
7276;17,65528726;9,126455585;19,50387781;11,45928195
7277;31,39540061;17,06453665;34,47347635;21,25656553
7278;62,50194989;38,44990342;67,50871864;47,02958353
7279;78,07889999;51,3940147;83,49189408;62,28775846
7280;80,33712613;50,65413171;86,46405472;61,74651162
7281;63,95566594;39,44985444;69,05243413;48,23461278
7282;63,08527489;38,63267304;68,18285444;47,28321754
7283;59,02096237;36,08624758;63,80451962;44,17646809
7284;56,73169754;34,65387395;61,33789637;42,42858709
7285;56,12344402;34,13162879;60,71798634;41,81510304
7286;48,48906446;29,04026572;52,57090302;35,65511338
7287;47,91536487;28,45024448;52,01060505;34,97394006
7288;43,29236754;25,60799006;47,01684878;31,49717387
7289;46,8280248;28,44697118;50,66951517;34,85621974
7290;51,98025405;31,90173967;56,16305963;39,03315505
7291;52,22723263;31,67621617;56,52432285;38,82179329
7292;54,53136807;33,17651466;58,99229267;40,64271448
7293;58,18016839;35,17864848;62,99410313;43,13303685
7294;52,67176524;31,22502038;57,18589065;38,39371884
7295;39,83048669;22,20356355;43,59679549;27,55086344
7296;23,58810722;12,08578655;26,08480279;15,19690583
7297;15,8453973;7,627644958;17,64549431;9,691870004
7298;17,21003383;8,446314213;19,12466031;10,69677449
7299;15,83548356;7,582361715;17,64459659;9,643176542
7300;17,65528726;9,126455585;19,50387781;11,45928195
7301;31,39540061;17,06453665;34,47347635;21,25656553
7302;62,50194989;38,44990342;67,50871864;47,02958353
7303;78,07889999;51,3940147;83,49189408;62,28775846
7304;80,33712613;50,65413171;86,46405472;61,74651162
7305;63,95566594;39,44985444;69,05243413;48,23461278
7306;63,08527489;38,63267304;68,18285444;47,28321754
7307;59,02096237;36,08624758;63,80451962;44,17646809
7308;56,73169754;34,65387395;61,33789637;42,42858709
7309;56,12344402;34,13162879;60,71798634;41,81510304
7310;48,48906446;29,04026572;52,57090302;35,65511338
7311;47,91536487;28,45024448;52,01060505;34,97394006
7312;43,29236754;25,60799006;47,01684878;31,49717387
7313;46,8280248;28,44697118;50,66951517;34,85621974
7314;51,98025405;31,90173967;56,16305963;39,03315505
7315;52,22723263;31,67621617;56,52432285;38,82179329
7316;54,53136807;33,17651466;58,99229267;40,64271448
7317;58,18016839;35,17864848;62,99410313;43,13303685
7318;52,67176524;31,22502038;57,18589065;38,39371884
7319;39,83048669;22,20356355;43,59679549;27,55086344
7320;23,58810722;12,08578655;26,08480279;15,19690583
7321;15,8453973;7,627644958;17,64549431;9,691870004
7322;17,21003383;8,446314213;19,12466031;10,69677449
7323;15,83548356;7,582361715;17,64459659;9,643176542
7324;17,65528726;9,126455585;19,50387781;11,45928195
7325;31,39540061;17,06453665;34,47347635;21,25656553
7326;62,50194989;38,44990342;67,50871864;47,02958353
7327;78,07889999;51,3940147;83,49189408;62,28775846
7328;80,33712613;50,65413171;86,46405472;61,74651162
7329;63,95566594;39,44985444;69,05243413;48,23461278
7330;63,08527489;38,63267304;68,18285444;47,28321754
7331;59,02096237;36,08624758;63,80451962;44,17646809
7332;56,73169754;34,65387395;61,33789637;42,42858709
7333;56,12344402;34,13162879;60,71798634;41,81510304
7334;48,48906446;29,04026572;52,57090302;35,65511338
7335;47,91536487;28,45024448;52,01060505;34,97394006
7336;43,29236754;25,60799006;47,01684878;31,49717387
7337;46,8280248;28,44697118;50,66951517;34,85621974
7338;51,98025405;31,90173967;56,16305963;39,03315505
7339;52,22723263;31,67621617;56,52432285;38,82179329
7340;54,53136807;33,17651466;58,99229267;40,64271448
7341;58,18016839;35,17864848;62,99410313;43,13303685
7342;52,67176524;31,22502038;57,18589065;38,39371884
7343;39,83048669;22,20356355;43,59679549;27,55086344
7344;23,58810722;12,08578655;26,08480279;15,19690583
