index;PV_rooftop_middle;PV_rooftop_north;PV_rooftop_swest;PV_rooftop_east
636;0,039005246;0,528802579;0,576286263;0,039201731
637;0,034090733;0,506243013;0,533394434;0,035670552
638;0,024502978;0,360112697;0,428684724;0,025400882
639;0,014734799;0,214541013;0,274018421;0,011804752
640;0,001796899;0,009138302;0,023558794;0,000936765
641;0;0;0;0
642;0;0;0;0
643;0;0;0;0
644;0;0;0;0
645;0;0;0;0
646;0;0;0;0
647;0;0;0;0
648;0;0;0;0
649;0;0;0;0
650;0;0;0;0
651;0;0;0;0
652;0;0;0;0
653;0;0;0;0
654;0;0;0;0
655;0;0;0;0
656;0,011589751;0;0;0,01289967
657;0,249757678;0;0;0,238081074
658;0,390266763;0,018003901;0,006312416;0,417261671
659;0,486060039;0,017719529;0,013745226;0,5080995
660;0,551121355;0,014103954;0,016411247;0,564757263
661;0,540671092;0,454215632;0,34890154;0,493365592
662;0,458309053;0,412361605;0,282985421;0,42054604
663;0,279527684;0,262515908;0,173232135;0,256566
664;0,026397413;0,027165982;0,011718877;0,014555464
665;0;0;0;0
666;0;0;0;0
667;0;0;0;0
668;0;0;0;0
669;0;0;0;0
670;0;0;0;0
671;0;0;0;0
672;0;0;0;0
673;0;0;0;0
674;0;0;0;0
675;0;0;0;0
676;0;0;0;0
677;0;0;0;0
678;0;0;0;0
679;0;0;0;0
680;0;0;0;0
681;0;0,12705979;0,089232004;0
682;0,010871428;0,171512175;0,126308527;0,00732635
683;0,015023578;0,238955139;0,29574004;0,014754857
684;0,026225827;0,451453776;0,306163816;0,015250883
685;0,274023237;0,452156881;0,585997303;0,315947092
686;0,234324276;0,348533132;0,453151342;0,248607908
687;0,165111509;0,271733329;0,317736158;0,15155145
688;0,01096707;0,042753175;0,018112589;0,007364202
689;0;0;0;0
690;0;0;0;0
691;0;0;0;0
692;0;0;0;0
693;0;0;0;0
694;0;0;0;0
695;0;0;0;0
696;0;0;0;0
697;0;0;0;0
698;0;0;0;0
699;0;0;0;0
700;0;0;0;0
701;0;0;0;0
702;0;0;0;0
703;0;0;0;0
704;0;0;0;0
705;0;0,126671878;0,024373144;0
706;0,005723542;0,236977295;0,097388507;0,007625032
707;0,012887005;0,304957461;0,078632452;0,014360925
708;0,015919315;0,309012355;0,05544587;0,017427836
709;0,309518013;0,291350447;0,324078553;0,296221618
710;0,232756737;0,162737566;0,357442342;0,237334145
711;0,144585652;0,071627404;0,335186171;0,136827896
712;0,010845288;0,0028016;0,074879073;0,008351063
713;0;0;0;0
714;0;0;0;0
715;0;0;0;0
716;0;0;0;0
717;0;0;0;0
718;0;0;0;0
719;0;0;0;0
720;0;0;0;0
721;0;0;0;0
722;0;0;0;0
723;0;0;0;0
724;0;0;0;0
725;0;0;0;0
726;0;0;0;0
727;0;0;0;0
728;0;0,035611969;0,015675298;0,00597117
729;0,024805097;0,215682355;0,169634499;0,019399926
730;0,063382291;0,364237421;0,228857392;0,043868953
731;0,083290765;0,526623434;0,278522629;0,0628605
732;0,095865272;0,482968303;0,451393579;0,100642776
733;0,083969068;0,412072658;0,448730447;0,101215374
734;0,052439132;0,212848504;0,417615632;0,062126574
735;0,021211627;0,098601604;0,290823119;0,018081364
736;0,004160907;0,004407473;0,06707605;0,001518402
737;0;0;0;0
738;0;0;0;0
739;0;0;0;0
740;0;0;0;0
741;0;0;0;0
742;0;0;0;0
743;0;0;0;0
744;0;0;0;0
745;0;0;0;0
746;0;0;0;0
747;0;0;0;0
748;0;0;0;0
749;0;0;0;0
750;0;0;0;0
751;0;0;0;0
752;0,011172848;0,011010917;0,089305204;0
753;0,088106554;0,237596124;0,23657325;0,01673234
754;0,125145995;0,418942382;0,244061562;0,036508981
755;0,14700679;0,506004632;0,296715237;0,045280942
756;0,36722321;0,532216974;0,365436553;0,051574938
757;0,410649592;0,509951171;0,407654171;0,044657538
758;0,326862079;0,396522474;0,408333197;0,032103738
759;0,299436158;0,229722308;0,32664296;0,017715604
760;0,066560904;0,024490481;0,097820001;0,001920987
761;0;0;0;0
762;0;0;0;0
763;0;0;0;0
764;0;0;0;0
765;0;0;0;0
766;0;0;0;0
767;0;0;0;0
768;0;0;0;0
769;0;0;0;0
770;0;0;0;0
771;0;0;0;0
772;0;0;0;0
773;0;0;0;0
774;0;0;0;0
775;0;0;0;0
776;0,020656486;0,015548716;0,082931747;0
777;0,055495232;0,262436447;0,257637514;0,015138916
778;0,128552684;0,432330276;0,39181504;0,056085888
779;0,096066091;0,512274789;0,461436908;0,111400046
780;0,094045626;0,528296921;0,531492198;0,177582237
781;0,067695794;0,498978395;0,518280079;0,309000316
782;0,061445621;0,409243382;0,407935895;0,351254053
