index;Wind_east;Wind_swest;Wind_north;Wind_middle
371;0,25902;0,25902;0,25902;0,25902
372;0,292005;0,24871;0,25392;0,242025
373;0,1014655;0,08041025;0,09840525;0,0674745
374;0,1039135;0,0952385;0,097873;0,0652625
375;0,253225;0,2318275;0,2382825;0,213285
376;0,151098;0,12471075;0,12965675;0,1057165
377;0,06928975;0,0639345;0,0646995;0,04129
378;0,13048;0,131688;0,13772825;0,1224705
379;0,15705;0,151735;0,15536;0,1425575
380;0,090884;0,0651825;0,067598;0,05475425
381;0,038995;0,038689;0,038689;0,0223115
382;0,07005475;0,0608745;0,04863425;0,038689
383;0,08459;0,08459;0,08459;0,07923475
384;0,1425575;0,148595;0,1244425;0,13048
385;0,170645;0,1611275;0,1602225;0,15705
386;0,25902;0,25664;0,2558475;0,2471225
387;0,1961375;0,2114325;0,22673;0,1905575
388;0,097873;0,1039135;0,107535;0,07842725
389;0,05016425;0,05016425;0,05016425;0,03786275
390;0,038689;0,03381975;0,038689;0,01490475
391;0,07589275;0,07971475;0,07536725;0,05888525
392;0,17043;0,22387;0,200755;0,1959225
393;0,26852;0,3665575;0,301585;0,32555
394;0,123098;0,14336025;0,14166025;0,119118
395;0,20145;0,22163;0,22163;0,17043
396;0,1628275;0,180955;0,1995375;0,15943
397;0,317425;0,3551325;0,3144275;0,32155
398;0,65027;0,8025275;0,7059;0,6749175
399;0,760785;0,934625;0,76721;0,76721
400;0,556865;0,72095;0,7155725;0,60951
401;0,325845;0,3653025;0,3653025;0,33235
402;0,2386225;0,2471225;0,2471225;0,22673
403;0,11840525;0,112365;0,112365;0,097873
404;0,13286;0,12954;0,127615;0,1042535
405;0,3288725;0,37535;0,323055;0,330805
406;0,54115;0,677705;0,54115;0,5567575
407;0,518855;0,6398375;0,56066;0,56066
408;0,3777575;0,449325;0,4728675;0,3955725
409;0,206335;0,19933;0,212215;0,1876375
410;0,1497225;0,1497225;0,1806275;0,1449725
411;0,05177475;0,036321;0,037166;0,02931675
412;0,038689;0,01788525;0,01699975;0,01275075
413;0,06541375;0,06388375;0,044044;0,0429815
414;0,035641;0,029002;0,0280655;0,01850475
415;0,0646995;0,0593445;0,038689;0,03674125
416;0,081224;0,07234975;0,038689;0,038689
417;0,042973;0,040117;0,03976;0,0293935
418;0,142002;0,1501195;0,157684;0,129553
419;0,4312025;0,5170275;0,4801775;0,46246
420;0,5567575;0,7224575;0,56066;0,56066
421;0,40013;0,441935;0,415735;0,415735
422;0,4721625;0,6226225;0,5927875;0,5339675
423;0,76947;0,9625475;0,896805;0,8805625
424;0,7259;0,88853;0,8132875;0,7798825
425;0,76721;0,94;0,76721;0,76721
426;0,7293425;0,888165;0,7741225;0,76721
427;0,879525;0,9774125;0,9432675;0,9083225
428;0,94;0,996065;0,99475;0,974675
429;0,967375;1;0,9973775;0,9964125
430;0,9993875;1;1;1
431;1;1;1;1
432;1;1;1;1
433;0,9791625;0,99772;0,98625;0,9796875
434;0,8276875;0,87275;0,8276875;0,7747925
435;0,76721;0,7798825;0,76721;0,598525
436;0,8939225;0,948885;0,9198425;0,85975
437;0,8968025;0,940365;0,94;0,78526
438;0,94;0,990735;0,9774125;0,948885
439;0,94;0,99475;0,9682875;0,94
440;0,9417025;0,99475;0,99475;0,9417025
441;0,9930475;0,99869;0,9973775;0,9930475
442;0,995625;1;1;0,995975
443;1;1;1;1
444;1;1;1;1
445;1;1;1;0,9979025
446;0,996065;1;0,99869;0,99475
447;0,9883625;0,9958875;0,99475;0,9609875
448;0,9473;0,99475;0,9774125;0,94
449;0,99475;0,998075;0,9965875;0,9838
450;0,9950725;0,998425;0,995975;0,99475
451;0,9999425;1;1;0,9993875
452;1;1;1;1
453;0,9982525;1;1;0,99615
454;1;1;1;1
455;1;1;1;0,99979
456;0,995975;0,99764;0,997025;0,988485
457;0,990735;0,9941425;0,99475;0,94
458;0,8942875;0,9087875;0,9127425;0,7837625
459;0,732785;0,5809825;0,65705;0,488425
460;0,56066;0,350875;0,499345;0,3105475
461;0,5567575;0,3710375;0,52443;0,303825
462;0,40013;0,24372;0,303825;0,2165325
463;0,53679;0,351925;0,4852025;0,322295
464;0,7658325;0,68954;0,7589475;0,57295
465;0,6260675;0,47908;0,6088525;0,451965
466;0,56066;0,39344;0,5483975;0,39344
467;0,4636725;0,3598325;0,394555;0,2968025
468;0,5809875;0,43872;0,5256075;0,419915
469;0,84186;0,858745;0,8673175;0,7317275
470;0,94;0,974675;0,9409125;0,94
471;0,9839225;0,9963275;0,992975;0,967375
472;0,99979;1;1;0,9986
473;0,996025;0,99869;0,99825;0,986325
474;0,8707425;0,85923;0,875305;0,74156
475;0,5882;0,4498675;0,54082;0,42967
476;0,56066;0,39344;0,5483975;0,39344
477;0,4449975;0,3245275;0,3609475;0,283785
478;0,212215;0,12471075;0,16322075;0,1076545
479;0,122025;0,07540975;0,08459;0,040882
480;0,1808425;0,11840525;0,16076;0,09920325
481;0,3441525;0,265045;0,2769425;0,2318275
482;0,42967;0,4018025;0,4018025;0,3441525
483;0,6742625;0,680705;0,6680325;0,579015
484;0,8939225;0,956185;0,8939225;0,865125
485;0,94;0,94;0,94;0,8334475
486;0,94;0,9417025;0,94;0,81041
487;0,9546;0,9938375;0,9582675;0,952775
488;0,9989525;1;0,999545;0,9988625
489;1;1;1;1
490;0,9986875;1;1;0,9995625
491;1;1;1;1
492;1;1;1;1
493;1;1;1;1
494;1;1;1;1
495;1;1;1;1
496;1;1;1;1
497;1;1;1;1
498;1;1;1;1
499;1;1;1;1
500;1;1;1;1
501;1;1;1;1
502;1;1;1;1
503;1;1;1;1
504;1;1;1;1
505;1;1;1;1
506;1;1;1;1
507;1;1;1;0,9979025
508;1;1;1;0,99475
509;0,9951675;0,979515;0,98803;0,94335
510;0,6594975;0,421465;0,543345;0,36253
511;0,3892575;0,204635;0,3102075;0,1565675
512;0,212215;0,1039135;0,12965675;0,0899025
513;0,2471225;0,08459;0,122025;0,08459
514;0,170645;0,082754;0,08459;0,07081975
515;0,09425;0,03976;0,05398925;0,02319675
516;0,08459;0,038689;0,038689;0,012131
517;0,05628425;0,038689;0,038689;0,012131
518;0,05398925;0,0245245;0,038995;0,01611475
519;0,1413505;0,10942625;0,112622;0,07081975
520;0,2553375;0,16736;0,18424;0,1068205
521;0,5288325;0,4631225;0,46976;0,3970325
522;0,853415;0,907855;0,84716;0,7805525
523;0,7054375;0,6435125;0,66049;0,5659025
524;0,7190125;0,6501625;0,69836;0,5578725
525;0,443605;0,383225;0,44082;0,33235
526;0,39344;0,39344;0,39344;0,32847
527;0,39344;0,34415;0,39344;0,2632
528;0,4208625;0,3798475;0,4626675;0,362375
529;0,216955;0,1617835;0,2129275;0,1350455
530;0,0570895;0,032929;0,04939925;0,0211365
531;0,07540975;0,038689;0,038689;0,03337725
532;0,0662295;0,038689;0,038689;0,038689
533;0,083162;0,038689;0,038689;0,038689
534;0,040117;0,0320495;0,03786275;0,0187705
535;0,0320495;0,012131;0,01295725;0,012131
536;0,038689;0,02541;0,0320495;0,012131
537;0,038689;0,038689;0,038689;0,015672
538;0,07459375;0,046339;0,046339;0,038689
539;0,0329855;0,02054075;0,021426;0,015672
540;0,038689;0,02673775;0,0320495;0,012131
541;0,038689;0,038689;0,038689;0,012131
542;0,03839375;0,015672;0,0320495;0,012131
543;0,013754;0,006557377;0,012131;0,006557377
544;0,01168525;0,00098361;0,010273275;0,00098361
545;0,001213105;0,00037705;0,000540985;0,00037705
546;3,06E-05;0;0;0
547;0;0;0;0
548;0;0;0;0
549;0;0;0;0
550;0;0;0;0
551;0;0;0;0
552;0;0;0;0
553;0;0;0;0
554;0;0;0;0
555;0;0;0;0
556;0;0;0;0
557;0;0;0;0
558;0;0;0;0
559;0;0,000540985;0;0,000540985
560;0,0007541;0,00098361;0,0007541;0,00098361
561;0;0,000131148;0;0,000131148
562;0;0;0;0
563;0;0;0;0
564;0;0;0;0
565;0;0;0;0
566;0;0;0;0
567;0,000868855;0,000868855;0,000868855;0,000868855
568;0,00098361;0,00098361;0,00098361;0,00098361
569;0,00098361;0,00098361;0,00098361;0,00098361
570;0,000262295;0,00098361;0,00098361;0,00098361
571;0,00098361;0,00098361;0,00098361;0,00098361
572;0,00098361;0,007114803;0,00098361;0,007114803
573;0,00414208;0,01257375;0,0108305;0,012131
574;0,012131;0,037361;0,02812475;0,02812475
575;0,012131;0,0320495;0,01295725;0,01295725
576;0,012131;0,03851175;0,027623;0,02718025
577;0,005628377;0,009248053;0,007114803;0,007300553
578;0,00098361;0,008043725;0,008043725;0,008043725
579;0,00098361;0,00098361;0,00098361;0,00098361
580;0,00098361;0,00098361;0,00098361;0,00098361
581;0,00414208;0,008043653;0,008043653;0,008043653
582;0,012131;0,03337725;0,02496725;0,02452475
583;0,012131;0,038689;0,0320495;0,03160675
584;0,012131;0,015672;0,012131;0,012131
585;0,012131;0,01877025;0,012131;0,012131
586;0,002469958;0,003956355;0,003398905;0,003956355
587;0,00098361;0,004142078;0,004327777;0,004142078
588;0,00098361;0,00098361;0,00098361;0,00098361
589;0,00098361;0,00098361;0,00098361;0,00098361
590;0,00098361;0,00098361;0,00098361;0,00098361
591;0,00098361;0,00098361;0,00098361;0,00098361
592;0,006371653;0,00990165;0,0108305;0,00990165
593;0,012131;0,012131;0,012131;0,012131
594;0,012131;0,012131;0,012131;0,012131
595;0,00377053;0,008043725;0,0076721;0,008043725
596;0,008043653;0,012131;0,012131;0,012131
597;0,012131;0,012131;0,012131;0,012131
598;0,002469958;0,003956305;0,006743153;0,003956305
599;0,008043725;0,01131355;0,01178425;0,01131355
600;0,00098361;0,001057933;0,001330433;0,001057933
601;0,001429508;0,002110758;0,001801107;0,002110758
602;0,011871;0,0293815;0,023565;0,023627
603;0,02054075;0,038689;0,03806925;0,03600375
604;0,005814178;0,010841552;0,008362803;0,007330053
605;0,00098361;0,00098361;0,00098361;0,00098361
606;0,006557377;0,007114803;0,007114803;0,007114803
607;0,012131;0,012131;0,012131;0,012131
608;0,005256878;0,012131;0,012131;0,012131
609;0,012131;0,02541;0,01443275;0,01295725
610;0,0355905;0,038689;0,03860025;0,03786275
611;0,038689;0,0547945;0,04557425;0,04710425
612;0,07693975;0,200095;0,13531275;0,152755
613;0,07693975;0,13421775;0,10560275;0,103189
614;0,10874275;0,22333;0,1735625;0,1864425
615;0,08459;0,204635;0,15705;0,15705
616;0,09425;0,172345;0,1602225;0,16328
617;0,24635;0,39213;0,323055;0,355445
618;0,39344;0,7121275;0,54115;0,58801
