;PV_openfield_middle;PV_openfield_north;PV_openfield_swest;PV_openfield_east
814;0;0;0;0
815;0;0;0;0
816;0;0;0;0
817;0;0;0;0
818;0;0;0;0
819;0;0;0;0
820;0;0;0;0
821;0;0;0;0
822;0;0;0;0
823;0;0;0;0
824;0,010729025;0,029139025;0,05547665;0
825;0,12274275;0,16513;0,1817425;0,01476965
826;0,1210445;0,334015;0,535755;0,03825975
827;0,12031525;0,27753;0,531385;0,04959
828;0,13341;0,22685;0,1515;0,048006
829;0,11816025;0,14755;0,022878025;0,04106725
830;0,1133425;0,07827975;0,0107725;0,03299725
831;0,09645375;0,06583825;0,0053098;0,0194
832;0,04259775;0,0035246;0,000455863;0,004719235
833;4,44E-05;0;0;0
834;0;0;0;0
835;0;0;0;0
836;0;0;0;0
837;0;0;0;0
838;0;0;0;0
839;0;0;0;0
840;0;0;0;0
841;0;0;0;0
842;0;0;0;0
843;0;0;0;0
844;0;0;0;0
845;0;0;0;0
846;0;0;0;0
847;0;0;0;0
848;0,086009;0,00877345;0,084207;0,0884435
849;0,17600625;0,02189125;0,2704125;0,20154825
850;0,516445;0,0313925;0,4910025;0,2927425
851;0,47206;0,01647815;0,6052775;0,36093
852;0,147202;0,015627075;0,37178;0,4014125
853;0,03716675;0,3785075;0,3305;0,1739025
854;0,03997675;0,3370975;0,07127425;0,263084
855;0,05457925;0,2453975;0,0289565;0,2174025
856;0,006864718;0,02922;0,0137025;0,07038475
857;0;3,07E-05;5,94E-05;0
858;0;0;0;0
859;0;0;0;0
860;0;0;0;0
861;0;0;0;0
862;0;0;0;0
863;0;0;0;0
864;0;0;0;0
865;0;0;0;0
866;0;0;0;0
867;0;0;0;0
868;0;0;0;0
869;0;0;0;0
870;0;0;0;0
871;0;0;0;0
872;0,070090975;0,010328875;0,077016;0,0429979
873;0,238585;0,06146025;0,2321775;0,16224175
874;0,4427275;0,121512;0,5145225;0,2580425
875;0,55755;0,0991775;0,5903275;0,346925
876;0,586895;0,30385;0,5584975;0,69639
877;0,5292875;0,3443055;0,3159875;0,194163
878;0,41323;0,31267;0,29725925;0,3349075
879;0,295465;0,21507875;0,17346175;0,19174
880;0,0737285;0,0802961;0,06649625;0,07715225
881;6,11E-05;0,000205285;0,000139178;0,000162938
882;0;0;0;0
883;0;0;0;0
884;0;0;0;0
885;0;0;0;0
886;0;0;0;0
887;0;0;0;0
888;0;0;0;0
889;0;0;0;0
890;0;0;0;0
891;0;0;0;0
892;0;0;0;0
893;0;0;0;0
894;0;0;0;0
895;0;0;0;0
896;0,06127625;0,02419125;0;0,017637
897;0,26848;0,0920945;0,01584595;0,018243
898;0,4086975;0,26920325;0,039088;0,0107136
899;0,5400325;0,48318;0,05072125;0,10811125
900;0,41831925;0,4687025;0,05557975;0,350535
901;0,4021625;0,6329075;0,459;0,2887775
902;0,3062225;0,33593;0,3884475;0,09466625
903;0,23322;0,21329;0,240295;0,1318375
904;0,07761135;0,085989925;0,081147;0,0779855
905;9,12E-05;0,00025365;0,00013147;0,000153495
906;0;0;0;0
907;0;0;0;0
908;0;0;0;0
909;0;0;0;0
910;0;0;0;0
911;0;0;0;0
912;0;0;0;0
913;0;0;0;0
914;0;0;0;0
915;0;0;0;0
916;0;0;0;0
917;0;0;0;0
918;0;0;0;0
919;0;0;0;0
