id;hydrogen_2020;hydrogen_2025;hydrogen_2030;hydrogen_2035;hydrogen_2040;hydrogen_2045;hydrogen_2050
640;161,2;151;135;118;100;100;100
641;161,2;151;135;118;100;100;100
642;161,2;151;135;118;100;100;100
643;161,2;151;135;118;100;100;100
644;161,2;151;135;118;100;100;100
645;161,2;151;135;118;100;100;100
646;161,2;151;135;118;100;100;100
647;161,2;151;135;118;100;100;100
648;161,2;151;135;118;100;100;100
649;161,2;151;135;118;100;100;100
650;161,2;151;135;118;100;100;100
651;161,2;151;135;118;100;100;100
652;161,2;151;135;118;100;100;100
653;161,2;151;135;118;100;100;100
654;161,2;151;135;118;100;100;100
655;161,2;151;135;118;100;100;100
656;161,2;151;135;118;100;100;100
657;161,2;151;135;118;100;100;100
658;161,2;151;135;118;100;100;100
659;161,2;151;135;118;100;100;100
660;161,2;151;135;118;100;100;100
661;161,2;151;135;118;100;100;100
662;161,2;151;135;118;100;100;100
663;161,2;151;135;118;100;100;100
664;161,2;151;135;118;100;100;100
665;161,2;151;135;118;100;100;100
666;161,2;151;135;118;100;100;100
667;161,2;151;135;118;100;100;100
668;161,2;151;135;118;100;100;100
669;161,2;151;135;118;100;100;100
670;161,2;151;135;118;100;100;100
671;161,2;151;135;118;100;100;100
672;161,2;151;135;118;100;100;100
673;161,2;151;135;118;100;100;100
674;161,2;151;135;118;100;100;100
675;161,2;151;135;118;100;100;100
676;161,2;151;135;118;100;100;100
677;161,2;151;135;118;100;100;100
678;161,2;151;135;118;100;100;100
679;161,2;151;135;118;100;100;100
680;161,2;151;135;118;100;100;100
681;161,2;151;135;118;100;100;100
682;161,2;151;135;118;100;100;100
683;161,2;151;135;118;100;100;100
684;161,2;151;135;118;100;100;100
685;161,2;151;135;118;100;100;100
686;161,2;151;135;118;100;100;100
687;161,2;151;135;118;100;100;100
688;161,2;151;135;118;100;100;100
689;161,2;151;135;118;100;100;100
690;161,2;151;135;118;100;100;100
691;161,2;151;135;118;100;100;100
692;161,2;151;135;118;100;100;100
693;161,2;151;135;118;100;100;100
694;161,2;151;135;118;100;100;100
695;161,2;151;135;118;100;100;100
696;161,2;151;135;118;100;100;100
697;161,2;151;135;118;100;100;100
698;161,2;151;135;118;100;100;100
699;161,2;151;135;118;100;100;100
700;161,2;151;135;118;100;100;100
701;161,2;151;135;118;100;100;100
702;161,2;151;135;118;100;100;100
703;161,2;151;135;118;100;100;100
704;161,2;151;135;118;100;100;100
705;161,2;151;135;118;100;100;100
706;161,2;151;135;118;100;100;100
707;161,2;151;135;118;100;100;100
708;161,2;151;135;118;100;100;100
709;161,2;151;135;118;100;100;100
710;161,2;151;135;118;100;100;100
711;161,2;151;135;118;100;100;100
712;161,2;151;135;118;100;100;100
713;161,2;151;135;118;100;100;100
714;161,2;151;135;118;100;100;100
715;161,2;151;135;118;100;100;100
716;161,2;151;135;118;100;100;100
717;161,2;151;135;118;100;100;100
718;161,2;151;135;118;100;100;100
719;161,2;151;135;118;100;100;100
720;161,2;151;135;118;100;100;100
721;161,2;151;135;118;100;100;100
722;161,2;151;135;118;100;100;100
723;161,2;151;135;118;100;100;100
724;161,2;151;135;118;100;100;100
725;161,2;151;135;118;100;100;100
726;161,2;151;135;118;100;100;100
727;161,2;151;135;118;100;100;100
728;161,2;151;135;118;100;100;100
729;161,2;151;135;118;100;100;100
730;161,2;151;135;118;100;100;100
731;161,2;151;135;118;100;100;100
732;161,2;151;135;118;100;100;100
733;161,2;151;135;118;100;100;100
734;161,2;151;135;118;100;100;100
735;161,2;151;135;118;100;100;100
736;161,2;151;135;118;100;100;100
737;161,2;151;135;118;100;100;100
738;161,2;151;135;118;100;100;100
739;161,2;151;135;118;100;100;100
740;161,2;151;135;118;100;100;100
741;161,2;151;135;118;100;100;100
742;161,2;151;135;118;100;100;100
743;161,2;151;135;118;100;100;100
744;161,2;151;135;118;100;100;100
745;161,2;151;135;118;100;100;100
746;161,2;151;135;118;100;100;100
747;161,2;151;135;118;100;100;100
748;161,2;151;135;118;100;100;100
749;161,2;151;135;118;100;100;100
750;161,2;151;135;118;100;100;100
751;161,2;151;135;118;100;100;100
752;161,2;151;135;118;100;100;100
753;161,2;151;135;118;100;100;100
754;161,2;151;135;118;100;100;100
755;161,2;151;135;118;100;100;100
756;161,2;151;135;118;100;100;100
757;161,2;151;135;118;100;100;100
758;161,2;151;135;118;100;100;100
